URL, SIZE, #OUTLINKS, Content-Type 
https://www.reuters.com/article/us-iran-usa-world-court/u-n-court-rules-it-has-jurisdiction-to-hear-iran-claim-against-u-s-iduskcn1q21wp,194138,65,text/html
https://www.reuters.com/finance/stocks/company-profile/expn.l,117860,154,text/html
https://www.reuters.com/article/us-goldman-sachs-usa-economy/goldman-sachs-ceo-says-chance-of-u-s-recession-in-2019-quite-small-cnbc-iduskcn1q22qq,194964,67,text/html
https://www.reuters.com/article/us-softbank-group-results/softbanks-son-unveils-5-5-billion-buyback-laments-share-price-iduskcn1pv0et,205670,68,text/html
https://www.reuters.com/finance/stocks/overview/apax.l,120085,144,text/html
https://www.reuters.com/article/japan-stocks-midday-idusl3n1zv1r4,195688,64,text/html
https://www.reuters.com/investigates/special-report/assets/oceans-tide-flyingsquid/snack1_ik35803.jpg?v=130618291018,28447,0,image/jpeg
https://www.reuters.com/finance/stocks/analyst-research/hd.n,121138,152,text/html
https://www.reuters.com/sectors/industries/significant?categoryid=207&industrycode=109&pageid=2,149443,198,text/html
https://www.reuters.com/investigates/special-report/assets/oceans-tide-flyingsquid/line2_purple.png?v=130618291018,140527,9,image/png
https://www.reuters.com/article/us-usa-trump/trump-vows-to-build-border-wall-warns-democrats-against-investigations-iduskcn1pu12l,234392,75,text/html
https://www.reuters.com/article/us-nordic-investment-blackrock/blackrock-sees-strong-etf-growth-as-nordics-catch-up-idusbre9900mi20131001,199102,66,text/html
https://www.reuters.com/investigates/special-report/assets/baby-opioids-pennsylvania/marnee-key-downey-related.jpg?v=322416211117,4105,0,image/jpeg
https://www.reuters.com/article/us-mideast-investment-egypt-gas/egypts-giant-zohr-gas-field-aims-to-start-output-in-2017-minister-iduskcn0sr1vj20151102,201571,67,text/html
https://www.reuters.com/news/archive/livestock-news,135417,147,text/html
https://www.reuters.com/video/2019/02/14/go-skiing-in-copenhagen-city-centre?channelname=moments%2bof%2binnovation&videochannel=118065&videoid=514619143,268788,177,text/html
